date,age
2016-10-01,5.3
2016-11-01,5.1
2016-12-01,4.7
2017-01-01,3.8
2017-02-01,4.5
2017-03-01,4.9
2017-04-01,4.7
2017-05-01,4.7
2017-06-01,4.9
2017-07-01,4.6
2017-08-01,4.5
2017-09-01,4.5
2017-10-01,4.7
2017-11-01,4.8
2017-12-01,4.7
2018-01-01,4.2
