date,n
2016-10-01,378
2016-11-01,2258
2016-12-01,4178
2017-01-01,4338
2017-02-01,4031
2017-03-01,5341
2017-04-01,5539
2017-05-01,5336
2017-06-01,4943
2017-07-01,4496
2017-08-01,5504
2017-09-01,4897
2017-10-01,5669
2017-11-01,5297
2017-12-01,6132
2018-01-01,155
