expirationDate,baseType,vin,date,make,model,year,gas1,gas2,identifier,mpg
01/02/2021,BLACK-CAR,1N4AL3AP1FC178327,2018-01-02,NISSAN,Altima,2015,Gasoline,,nissanaltima2015g,24.5
01/02/2021,BLACK-CAR,1GYS4CKJ9FR214276,2018-01-02,CADILLAC,Escalade,2015,Gasoline,Ethanol (E85),cadillacescalade2015h,
01/02/2021,BLACK-CAR,4T1BF1FK8GU548185,2018-01-02,TOYOTA,Camry,2016,Gasoline,,toyotacamry2016g,32
01/02/2021,BLACK-CAR,1GKS2KE77ER103895,2018-01-02,GMC,Yukon,2014,Gasoline,,gmcyukon2014g,
01/02/2021,BLACK-CAR,1HGCR2F58HA008792,2018-01-02,HONDA,Accord,2017,"",,hondaaccord2017na,
01/02/2021,BLACK-CAR,4T1BD1EBXFU036210,2018-01-02,TOYOTA,Avalon,2015,Gasoline,Electric,toyotaavalon2015h,
01/02/2021,BLACK-CAR,5TDYZ3DC7HS772602,2018-01-02,TOYOTA,Sienna,2017,Gasoline,,toyotasienna2017g,18.5
01/02/2021,BLACK-CAR,5FNYF4H92FB030753,2018-01-02,HONDA,Pilot,2015,Gasoline,,hondapilot2015g,17.5
01/02/2021,BLACK-CAR,2T2BC1BA6FC007234,2018-01-02,LEXUS,RX,2015,Gasoline,Electric,lexusrx2015h,
01/02/2021,BLACK-CAR,4T4BF3EK5BR088396,2018-01-02,TOYOTA,Camry,2011,Gasoline,,toyotacamry2011g,23.75
01/02/2021,BLACK-CAR,2LNBL8CVXBX765805,2018-01-02,LINCOLN,Town Car,2011,Flexible Fuel Vehicle (FFV),Gasoline,lincolntown2011h,16
01/02/2021,BLACK-CAR,5NPD84LF6JH360640,2018-01-02,HYUNDAI,Elantra,2018,Gasoline,,hyundaielantra2018g,25.8
01/02/2021,BLACK-CAR,5NPD84LF1JH379208,2018-01-02,HYUNDAI,Elantra,2018,Gasoline,,hyundaielantra2018g,25.8
01/02/2021,BLACK-CAR,JTEDC3EH6C2004261,2018-01-02,TOYOTA,Highlander,2012,Gasoline,Electric,toyotahighlander2012h,
01/02/2021,BLACK-CAR,4T1B11HK5JU141590,2018-01-02,TOYOTA,Camry,2018,Gasoline,,toyotacamry2018g,32
01/02/2021,BLACK-CAR,5TDBKRFH8FS193279,2018-01-02,TOYOTA,Highlander,2015,Gasoline,,toyotahighlander2015g,22.4
01/02/2021,BLACK-CAR,1HGCR2F54FA042404,2018-01-02,HONDA,Accord,2015,Gasoline,,hondaaccord2015g,26.4285714285714
01/02/2021,BLACK-CAR,3N1AB7AP9FY304464,2018-01-02,NISSAN,Sentra,2015,Gasoline,,nissansentra2015g,28.6666666666667
